question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links
The founder of the production company at which Tim Allsop and Stewart Williams met received a bachelor's degree from a college in the state of New York. In what year was this college's sibling institution founded?,1701,https://en.wikipedia.org/wiki/Tim_Allsop_&_Stewart_Williams,https://en.wikipedia.org/wiki/Elisabeth_Murdoch_(businesswoman),https://en.wikipedia.org/wiki/Vassar_College,https://en.wikipedia.org/wiki/Yale_University,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Tim_Allsop_&_Stewart_Williams', 'https://en.wikipedia.org/wiki/Elisabeth_Murdoch_(businesswoman)', 'https://en.wikipedia.org/wiki/Vassar_College', 'https://en.wikipedia.org/wiki/Yale_University']"
What was the name of the worker-owned cooperative in Spain that recently started working with the United Steelworkers in the late 2000s and was associated with a social activist priest?,Mondragon Corporation,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Arizmendiarrieta,https://en.wikipedia.org/wiki/Mondragon_Corporation,https://en.wikipedia.org/wiki/United_Steelworkers,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Arizmendiarrieta', 'https://en.wikipedia.org/wiki/Mondragon_Corporation', 'https://en.wikipedia.org/wiki/United_Steelworkers']"
"As of August 1, 2024, which player who scored more than 10 goals in the 2022 Argentine Premier League season also played for Elche in Spain?",Franco Cristaldo scored more than 10 goals that year and also played for Elche.,https://en.wikipedia.org/wiki/2022_Argentine_Primera_División,https://en.wikipedia.org/wiki/Mateo_Retegui,https://en.wikipedia.org/wiki/Franco_Cristaldo,https://en.wikipedia.org/wiki/Enzo_Copetti,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/2022_Argentine_Primera_División', 'https://en.wikipedia.org/wiki/Mateo_Retegui', 'https://en.wikipedia.org/wiki/Franco_Cristaldo', 'https://en.wikipedia.org/wiki/Enzo_Copetti']"
The shonen manga that won the 35th Kodansha Manga Award has how many chapters in its final volume?,5,https://en.wikipedia.org/wiki/Kodansha_Manga_Award,https://en.wikipedia.org/wiki/List_of_Attack_on_Titan_chapters,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Kodansha_Manga_Award', 'https://en.wikipedia.org/wiki/List_of_Attack_on_Titan_chapters']"
Who won the World Series the same year that Andy Roddick won his only Grand Slam title in 2003?,The Florida Marlins,https://en.wikipedia.org/wiki/Andy_Roddick_career_statistics#Singles:_5_finals_(1–4),https://en.wikipedia.org/wiki/2003_World_Series,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Andy_Roddick_career_statistics#Singles:_5_finals_(1–4)', 'https://en.wikipedia.org/wiki/2003_World_Series']"
Which U.S. National Park was the first to be established after the Portland Trail Blazers won their only playoff series with LaMarcus Aldridge on the team?,Gateway Arch National Park,https://en.wikipedia.org/wiki/LaMarcus_Aldridge#2013%E2%80%9314_season,https://en.wikipedia.org/wiki/2013%E2%80%9314_Portland_Trail_Blazers_season#Playoffs,https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/LaMarcus_Aldridge#2013%E2%80%9314_season', 'https://en.wikipedia.org/wiki/2013%E2%80%9314_Portland_Trail_Blazers_season#Playoffs', 'https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States']"
What was the second starring role of the actress who won an Oscar for portraying union activist Cyrstal Lee Sutton?,The Flying Nun,https://en.wikipedia.org/wiki/Crystal_Lee_Sutton,https://en.wikipedia.org/wiki/Sally_Field,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Crystal_Lee_Sutton', 'https://en.wikipedia.org/wiki/Sally_Field']"
"What city does the band whose song spent the most weeks at No. 1 on the Billboard Hot Rock & Alternative Songs chart as of August 1, 2024 originate from?","Las Vegas, Nevada",https://en.wikipedia.org/wiki/Hot_Rock_%26_Alternative_Songs,https://en.wikipedia.org/wiki/High_Hopes_(Panic!_at_the_Disco_song),https://en.wikipedia.org/wiki/Panic!_at_the_Disco,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Hot_Rock_%26_Alternative_Songs', 'https://en.wikipedia.org/wiki/High_Hopes_(Panic!_at_the_Disco_song)', 'https://en.wikipedia.org/wiki/Panic!_at_the_Disco']"
"I'm thinking of a famous zoologist who is alumni of Upsala University and is credited with formally describing the African Gray parrot. He published his first edition of a certain book with a Latin title in the Netherlands, in 1735, while attending the university. This book contained his system of classifying animals, and it was key to the book's title. What is the modern-day term for the classification system he famously wrote about?",Binomial nomenclature,https://en.wikipedia.org/wiki/Grey_parrot,https://en.wikipedia.org/wiki/Carl_Linnaeus,https://en.wikipedia.org/wiki/Systema_Naturae,,,,,,,,,Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Grey_parrot', 'https://en.wikipedia.org/wiki/Carl_Linnaeus', 'https://en.wikipedia.org/wiki/Systema_Naturae']"
"How many years before Starbucks introduced juice-blended Frappuccinos, was the company that is accredited for inventing the Frappuccino, founded?",31 years,https://en.wikipedia.org/wiki/George_Howell_(entrepreneur)#The_Coffee_Connection,https://en.wikipedia.org/wiki/Frappuccino,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/George_Howell_(entrepreneur)#The_Coffee_Connection', 'https://en.wikipedia.org/wiki/Frappuccino']"
Milton Friedman won the Nobel Prize for Economics in 1976. What was the name of the Nobel Peace Prize winning wife of the economist who won the Nobel Prize for Economics two years before Friedman did?,Alva Myrdal,https://en.wikipedia.org/wiki/Milton_Friedman,https://en.wikipedia.org/wiki/List_of_Nobel_Memorial_Prize_laureates_in_Economic_Sciences,https://en.wikipedia.org/wiki/Gunnar_Myrdal,,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/List_of_Nobel_Memorial_Prize_laureates_in_Economic_Sciences', 'https://en.wikipedia.org/wiki/Gunnar_Myrdal']"
What US president was born in the same year that the Treaty of Resht was signed?,George Washington,https://en.wikipedia.org/wiki/Treaty_of_Resht,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States,,,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Treaty_of_Resht', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States']"
What was the release date of the movie directed by Gordon Douglas which featured American decathlete who was a 1984 olympic torch runner and first African American to light the Olympic Cauldron?,"April 2, 1961",https://en.wikipedia.org/wiki/1984_Summer_Olympics,https://en.wikipedia.org/wiki/Rafer_Johnson,https://en.wikipedia.org/wiki/The_Sins_of_Rachel_Cade,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/1984_Summer_Olympics', 'https://en.wikipedia.org/wiki/Rafer_Johnson', 'https://en.wikipedia.org/wiki/The_Sins_of_Rachel_Cade']"
Shakshouka and menemen are considered similar dishes. What two main ingredients do they have in common?,Egg and tomato.,https://en.wikipedia.org/wiki/Menemen_(food),https://en.wikipedia.org/wiki/Shakshouka,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Menemen_(food)', 'https://en.wikipedia.org/wiki/Shakshouka']"
"Which of the bridges in Halifax, Nova Scotia is longer, and by how much? The MacKay, or the MacDonald? ",The MacDonald Bridge (1300 metres) is 100 metres longer than the MacKay (1200 metres).,https://en.wikipedia.org/wiki/Angus_L._Macdonald_Bridge,https://en.wikipedia.org/wiki/A._Murray_MacKay_Bridge,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Angus_L._Macdonald_Bridge', 'https://en.wikipedia.org/wiki/A._Murray_MacKay_Bridge']"
Rosie Ruiz was disqualified from the Boston Marathon. The subsequent winner placed in what position of the 1988 Grandma's Marathon?,Jacqueline Gareau placed first in the 1988 Grandma's Marathon.,"https://en.wikipedia.org/wiki/Boston_Marathon#Rosie_Ruiz,_the_impostor",https://en.wikipedia.org/wiki/Jacqueline_Gareau,,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Boston_Marathon#Rosie_Ruiz,_the_impostor', 'https://en.wikipedia.org/wiki/Jacqueline_Gareau']"
What was the difference in receiving yards from 2022 and 2023 for number 11 on the 49ers? Calculate the same 2022/2023 difference for the closest ranked WR for number 11's draft class and compare their numbers.,The yard difference for Brandon Aiyuk is 327. The yard difference for Justin Jefferson is -735. Brandon improved more in 2023 but Justin's 2022 numbers were astronomical.,https://en.wikipedia.org/wiki/Brandon_Aiyuk,https://en.wikipedia.org/wiki/2020_NFL_draft,https://en.wikipedia.org/wiki/Justin_Jefferson,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Brandon_Aiyuk', 'https://en.wikipedia.org/wiki/2020_NFL_draft', 'https://en.wikipedia.org/wiki/Justin_Jefferson']"
"As of 2020, what was the population of the city where Dippin' Dots were founded?","27,137",https://en.wikipedia.org/wiki/Dippin%27_Dots,"https://en.wikipedia.org/wiki/Paducah,_Kentucky",,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Dippin%27_Dots', 'https://en.wikipedia.org/wiki/Paducah,_Kentucky']"
"There was a popular movie that came out in 2016 starring Emma Stone and Ryan Gosling, tell me where the director of this movie was born. ","Providence, Rhode Island",https://en.wikipedia.org/wiki/La_La_Land,https://en.wikipedia.org/wiki/Damien_Chazelle,https://en.wikipedia.org/wiki/Ryan_Gosling,https://en.wikipedia.org/wiki/Emma_Stone,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/La_La_Land', 'https://en.wikipedia.org/wiki/Damien_Chazelle', 'https://en.wikipedia.org/wiki/Ryan_Gosling', 'https://en.wikipedia.org/wiki/Emma_Stone']"
"One of Jane Auten's novels was released in 1813, which was later adapted into a film in 2005. When was the director of that film born? ","Joe Wright was born on August 25th, 1972.",https://en.wikipedia.org/wiki/Jane_Austen#List_of_works,"https://en.wikipedia.org/wiki/Pride_and_Prejudice#Film,_television_and_theatre",https://en.wikipedia.org/wiki/Pride_%26_Prejudice_(2005_film),https://en.wikipedia.org/wiki/Joe_Wright,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Jane_Austen#List_of_works', 'https://en.wikipedia.org/wiki/Pride_and_Prejudice#Film,_television_and_theatre', 'https://en.wikipedia.org/wiki/Pride_%26_Prejudice_(2005_film)', 'https://en.wikipedia.org/wiki/Joe_Wright']"
How many days after Peter Tosh died did Bunny Wailer pass away?,"12,226 days",https://en.wikipedia.org/wiki/Peter_Tosh,https://en.wikipedia.org/wiki/Bunny_Wailer,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Peter_Tosh', 'https://en.wikipedia.org/wiki/Bunny_Wailer']"
"Of the participants in the first round of the 2024 Yucatán Open (Doubles), which Mexican player had received two wild cards during their career prior to August 4, 2024?",Alan Fernando Rubio Fierros,https://en.wikipedia.org/wiki/2024_Yucat%C3%A1n_Open_%E2%80%93_Doubles,https://en.wikipedia.org/wiki/George_Goldhoff,https://en.wikipedia.org/wiki/James_Trotter_(tennis),https://en.wikipedia.org/wiki/Alan_Fernando_Rubio_Fierros,https://en.wikipedia.org/wiki/Rodrigo_Pacheco_M%C3%A9ndez,https://en.wikipedia.org/wiki/Roberto_Cid_Subervi,https://en.wikipedia.org/wiki/Nick_Hardt,https://en.wikipedia.org/wiki/Juan_Pablo_Paz_(tennis),https://en.wikipedia.org/wiki/Jack_Vance_(tennis),https://en.wikipedia.org/wiki/Stefan_Kozlov,"https://en.wikipedia.org/wiki/Murkel_Dellien, https://en.wikipedia.org/wiki/Facundo_Mena, https://en.wikipedia.org/wiki/Louis_Wessels, https://en.wikipedia.org/wiki/Gabi_Adrian_Boitan, https://en.wikipedia.org/wiki/Trey_Hilderbrand, https://en.wikipedia.org/wiki/Oliver_Crawford_(tennis), https://en.wikipedia.org/wiki/Tristan_Boyer, https://en.wikipedia.org/wiki/Thomas_Fancutt, https://en.wikipedia.org/wiki/Hunter_Reese, https://en.wikipedia.org/wiki/Alex_Hern%C3%A1ndez_(tennis), ",Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/2024_Yucat%C3%A1n_Open_%E2%80%93_Doubles', 'https://en.wikipedia.org/wiki/George_Goldhoff', 'https://en.wikipedia.org/wiki/James_Trotter_(tennis)', 'https://en.wikipedia.org/wiki/Alan_Fernando_Rubio_Fierros', 'https://en.wikipedia.org/wiki/Rodrigo_Pacheco_M%C3%A9ndez', 'https://en.wikipedia.org/wiki/Roberto_Cid_Subervi', 'https://en.wikipedia.org/wiki/Nick_Hardt', 'https://en.wikipedia.org/wiki/Juan_Pablo_Paz_(tennis)', 'https://en.wikipedia.org/wiki/Jack_Vance_(tennis)', 'https://en.wikipedia.org/wiki/Stefan_Kozlov', 'https://en.wikipedia.org/wiki/Murkel_Dellien, https://en.wikipedia.org/wiki/Facundo_Mena, https://en.wikipedia.org/wiki/Louis_Wessels, https://en.wikipedia.org/wiki/Gabi_Adrian_Boitan, https://en.wikipedia.org/wiki/Trey_Hilderbrand, https://en.wikipedia.org/wiki/Oliver_Crawford_(tennis), https://en.wikipedia.org/wiki/Tristan_Boyer, https://en.wikipedia.org/wiki/Thomas_Fancutt, https://en.wikipedia.org/wiki/Hunter_Reese, https://en.wikipedia.org/wiki/Alex_Hern%C3%A1ndez_(tennis), ']"
"Who is the male cousin, whose name begins with an L, of the actor who played the murderer in the ITV series White House Farm, and how old was he when he stood in the 2021 London mayoral election?","Laurence Fox, 42",https://en.wikipedia.org/wiki/White_House_Farm_murders,https://en.wikipedia.org/wiki/Freddie_Fox_(actor),https://en.wikipedia.org/wiki/Laurence_Fox,https://en.wikipedia.org/wiki/2021_London_mayoral_election,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/White_House_Farm_murders', 'https://en.wikipedia.org/wiki/Freddie_Fox_(actor)', 'https://en.wikipedia.org/wiki/Laurence_Fox', 'https://en.wikipedia.org/wiki/2021_London_mayoral_election']"
The University that Cillian Murphy attended was founded how many years before he began studying?,151 years.,https://en.wikipedia.org/wiki/Cillian_Murphy,https://en.wikipedia.org/wiki/University_College_Cork,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Cillian_Murphy', 'https://en.wikipedia.org/wiki/University_College_Cork']"
"Of the top five all-time scoring leaders of the National Basketball Association (NBA) and the Women's National Basketball Association (WNBA), which players were still playing professionally as of the 2024 season?","LeBron James, Diana Taurasi, Tina Charles, and DeWanna Bonner",https://en.wikipedia.org/wiki/List_of_NBA_career_scoring_leaders,https://en.wikipedia.org/wiki/List_of_WNBA_career_scoring_leaders,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/List_of_NBA_career_scoring_leaders', 'https://en.wikipedia.org/wiki/List_of_WNBA_career_scoring_leaders']"
"As of 2024, what is the street address of the headquarters of the American online video sharing platform that was launched in the same year as the founding of the Vancouver Cherry Blossom festival?","901 Cherry Avenue, San Bruno, California, United States",https://en.wikipedia.org/wiki/Vancouver_Cherry_Blossom_Festival,https://en.wikipedia.org/wiki/YouTube,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Vancouver_Cherry_Blossom_Festival', 'https://en.wikipedia.org/wiki/YouTube']"
Who was the mayor of France's 25th President's hometown when they were first elected President?,Brigitte Fouré,https://en.wikipedia.org/wiki/List_of_presidents_of_France#Presidents_2,https://en.wikipedia.org/wiki/Emmanuel_Macron,https://en.wikipedia.org/wiki/Amiens,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_presidents_of_France#Presidents_2', 'https://en.wikipedia.org/wiki/Emmanuel_Macron', 'https://en.wikipedia.org/wiki/Amiens']"
What is the shortest possible abbreviation in the United States for the  last to be discovered of the three antileprosy drugs on the World Health Organization's List of Essential Medicines?,R,https://en.wikipedia.org/wiki/WHO_Model_List_of_Essential_Medicines,https://en.wikipedia.org/wiki/Clofazimine,https://en.wikipedia.org/wiki/Dapsone,https://en.wikipedia.org/wiki/Rifampicin,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/WHO_Model_List_of_Essential_Medicines', 'https://en.wikipedia.org/wiki/Clofazimine', 'https://en.wikipedia.org/wiki/Dapsone', 'https://en.wikipedia.org/wiki/Rifampicin']"
What was the birthday of the man who was mayor of New York City the year Snoopy debuted in the Macy's Thanksgiving Day Parade?,"November 24, 1921",https://en.wikipedia.org/wiki/Snoopy,https://en.wikipedia.org/wiki/List_of_mayors_of_New_York_City,https://en.wikipedia.org/wiki/John_Lindsay,,,,,,,,,Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Snoopy', 'https://en.wikipedia.org/wiki/List_of_mayors_of_New_York_City', 'https://en.wikipedia.org/wiki/John_Lindsay']"
What horror movie remake did the director who was the first to attempt and failed to make Brokeback Mountian into a film direct in the 90's?,Psycho,https://en.wikipedia.org/wiki/Brokeback_Mountain,https://en.wikipedia.org/wiki/Gus_Van_Sant,https://en.wikipedia.org/wiki/Psycho_(1998_film),,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Brokeback_Mountain', 'https://en.wikipedia.org/wiki/Gus_Van_Sant', 'https://en.wikipedia.org/wiki/Psycho_(1998_film)']"
"If somebody was born on the day the Anglo-Dutch Treaty of 1814 was signed, how old would they have been while Albert A. Michelson and Edward W. Morley were performing their Michelson-Morley experiment?",72,https://en.wikipedia.org/wiki/Anglo-Dutch_Treaty_of_1814,https://en.wikipedia.org/wiki/Michelson%E2%80%93Morley_experiment,,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Anglo-Dutch_Treaty_of_1814', 'https://en.wikipedia.org/wiki/Michelson%E2%80%93Morley_experiment']"
How many years apart were the Canadian Museum of History and the National Gallery of Canada established?,24 years,https://en.wikipedia.org/wiki/Canadian_Museum_of_History,https://en.wikipedia.org/wiki/National_Gallery_of_Canada,,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Canadian_Museum_of_History', 'https://en.wikipedia.org/wiki/National_Gallery_of_Canada']"
How old was Akira Toriyama when Pokemon Diamond and Pearl was released in America?,Akira Toriyama was 52.,https://en.wikipedia.org/wiki/Akira_Toriyama,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Diamond_and_Pearl,,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Akira_Toriyama', 'https://en.wikipedia.org/wiki/Pok%C3%A9mon_Diamond_and_Pearl']"
There's a famous children's book about a King Elephant. At what age did the French author die?,37 years old.,https://en.wikipedia.org/wiki/Babar_the_Elephant,https://en.wikipedia.org/wiki/Jean_de_Brunhoff,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Babar_the_Elephant', 'https://en.wikipedia.org/wiki/Jean_de_Brunhoff']"
"When Justin Trudeau was elected as Prime Minister of Canada, who was the current Prime Minister of France?",Manuel Valls,https://en.wikipedia.org/wiki/Justin_Trudeau,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_France,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Justin_Trudeau', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_France']"
How much wider in centimeters is the painting that inspired a Stephen Sondheim musical than the 10th most expensive painting ever sold?,211.2 cm,https://en.wikipedia.org/wiki/Works_of_Stephen_Sondheim,https://en.wikipedia.org/wiki/A_Sunday_Afternoon_on_the_Island_of_La_Grande_Jatte,https://en.wikipedia.org/wiki/List_of_most_expensive_paintings,"https://en.wikipedia.org/wiki/The_Standard_Bearer_(Rembrandt,_1636)",,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Works_of_Stephen_Sondheim', 'https://en.wikipedia.org/wiki/A_Sunday_Afternoon_on_the_Island_of_La_Grande_Jatte', 'https://en.wikipedia.org/wiki/List_of_most_expensive_paintings', 'https://en.wikipedia.org/wiki/The_Standard_Bearer_(Rembrandt,_1636)']"
"As of August 1, 2024, which NFL players were both league MVP and Super Bowl MVP in the same season?","Bart Starr (66), Terry Bradshaw (78), Joe Montana (89), Emmit Smith (93), Steve Young (94), Kurt Warner (99), and Patrick Mahomes (22).",https://en.wikipedia.org/wiki/Associated_Press_NFL_Most_Valuable_Player_Award,https://en.wikipedia.org/wiki/Super_Bowl_Most_Valuable_Player_Award,,,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Associated_Press_NFL_Most_Valuable_Player_Award', 'https://en.wikipedia.org/wiki/Super_Bowl_Most_Valuable_Player_Award']"
